Sponsor,Sponsor Experience,Offering,Offering City,Offering State,Property Type,Investment Structure,Investment Profile,Targeted Investor IRR (%),Targeted Investor Equity Multiple,Targeted Avg Annual Cash Yield (%),Targeted Distribution Period,Targeted Investment Period (Years),Targeted First Distribution Date,Preferred Return (%),Minimum Investment ($),Loan-to-Cost (%),Investor Accreditation,1031 Exchange?,Opportunity Zone?,Date Funds Due,Date Closed,Offering Status,First Distribution (Period End Date),First Distribution (Payment Date),Last Distribution (Period End Date),Last Distribution (Payment Date),Last Tax Document Date,Realized Investor Equity Multiple,Realized Avg Annual Cash Yield (%),Disposition Date,Realized Investor IRR (%)
Wright Investments,Tenured,Marriott Residence Inn Downtown Memphis,Memphis,TN,Hospitality,Equity,Value Add,16.5,1.9,10.7,Quarterly,5,4/15/2019,12,25000,65,Accredited Investors Only,No,No,,11/12/2018,Closed,3/31/2019,4/26/2019,6/30/2019,7/26/2019,3/27/2019,0.04,,,
Ilan Investments,Tenured,Sandshell at Fossil Creek,Fort Worth,TX,Multifamily,Preferred Equity,Value Add,13.4,3.2,18.1,Quarterly,12,3/31/2019,7.5,50000,65.5,Accredited Investors Only,No,No,,11/11/2018,Closed,2/28/2019,3/31/2019,5/31/2019,6/30/2019,3/25/2019,0.04,,,
Carter,Tenured,Morehouse Student Housing,Atlanta,GA,Residential,Equity,Development,18.1,1.9,9.5,Monthly,4,1/7/2019,8,25000,66.6,Accredited Investors Only,No,No,,11/7/2018,Closed,12/31/2018,1/31/2019,8/31/2019,9/13/2019,3/28/2019,0.04,,,
Ridgeline,Emerging,Pearland Medical Office,Pearland,TX,Medical Office,Equity,Value Add,24,1.8,11,Quarterly,3,4/15/2019,10,25000,70.5,Accredited Investors Only,No,No,,10/31/2018,Closed,3/31/2019,4/26/2019,3/31/2019,4/26/2019,9/11/2019,0.01,,,
Tapestry Senior Housing Management,Tenured,Tapestry Wickliffe Senior Housing,Wickliffe,OH,Senior Housing,Equity,Value Add,28.6,3.6,9.4,Quarterly,5,10/1/2021,,25000,72,Accredited Investors Only,No,No,,10/31/2018,Closed,,,,,2/20/2019,,,,
Impact Housing,Tenured,Impact Housing REIT,Multiple Locations,,Multifamily,REIT,Value Add,7,,8.55,Quarterly,5,,7,1000,,Non-Accredited Eligible,No,No,,10/29/2018,Closed,,,,,,,,,
MG Capital,Tenured,MG Capital Fund IV,New York City,NY,Multi-Use,Equity,Core Plus,16,2.6,6,Annually,6,7/1/2019,8.5,50000,,Accredited Investors Only,No,No,,10/28/2018,Closed,,,,,10/8/2019,,,,
RRA Companies,Seasoned,Fairfield Inn & Suites Note Offering,PeachTree City,GA,Hospitality,Mezzanine Debt,Core Plus,10,1.22,10,Quarterly,2,4/15/2019,10,50000,69.6,Accredited Investors Only,No,No,,10/25/2018,Closed,2/12/2019,2/24/2019,8/13/2019,8/19/2019,,0.06,0.06,,
10 Federal,Seasoned,10 Federal Self Storage I,Multiple Locations,,Storage,Equity Fund,Value Add,15,1.75,11,Quarterly,4,,8,25000,73,Accredited Investors Only,No,No,,10/25/2018,Closed,9/30/2017,10/12/2017,6/30/2019,7/18/2019,3/11/2019,0.27,0.27,,
Momentum Development,Seasoned,Brighton Self-Storage,Brighton,CO,Storage,Equity,Development,19.9,2.4,6.8,Quarterly,5,1/15/2022,8,25000,75,Accredited Investors Only,No,No,10/12/2018,10/8/2018,Closed,,,,,2/18/2019,,,,
Trion Properties,Seasoned,Trion Multifamily Opportunity Fund II,Multiple Locations,U.S.,Multi-Use,Equity Fund,Value Add,15,2,9.5,Quarterly,7,10/15/2020,8,50000,,Accredited Investors Only,No,No,,12/2/2019,Funding,,,,,3/27/2019,,,,
Newstream Commercial Development,Emerging,Houston Red Lion Hotel,Houston,TX,Hospitality,Equity,Value Add,25.1,2.8,12,Quarterly,5,4/15/2019,8,25000,51.7,Accredited Investors Only,No,No,,10/5/2018,Closed,,,,,4/11/2019,,,,
RREAF,Tenured,South Carolina Multifamily Portfolio I,Multiple Locations,U.S.,Multifamily,Equity,Value Add,24.7,1.86,10.6,Quarterly,3,1/15/2019,8,50000,71.9,Accredited Investors Only,No,No,,9/30/2018,Closed,12/31/2018,2/7/2019,3/31/2019,5/14/2019,4/1/2019,0.04,0.04,,
Condor Partners,Seasoned,Mural Park,Chicago,IL,Mixed Use,Equity,Development,22.5,2.2,15.7,Annually,4,12/1/2019,10,50000,77,Accredited Investors Only,No,No,,9/30/2018,Closed,,,,,3/15/2019,,,,
Alpha Capital Partners,Seasoned,Alpha Residential Growth Fund IV,Multiple Locations,U.S.,Multifamily,Equity,Value Add,16,2,,Quarterly,5,10/31/2018,8,50000,69.66,Accredited Investors Only,No,No,,9/23/2018,Closed,9/30/2018,9/30/2018,6/30/2019,7/31/2019,4/2/2019,0.03,0.03,,
River Asset Management Company,Tenured,Greens at Hollymead Apartments,Charlottesville,VA,Multifamily,Equity,Core Plus,13.3,1.9,8.5,Quarterly,6,10/15/2018,8,25000,67.4,Accredited Investors Only,No,No,,9/6/2018,Closed,9/30/2018,10/15/2018,12/31/2018,1/15/2019,10/14/2019,0.03,0.03,,
Christina,Tenured,Christina 2 - Class B,"Beverly Hills, Santa Monica, Malibu",CA,Multi-Use,Equity Fund,Value Add,20.4,2.35,,,12,,,50000,,Accredited Investors Only,No,No,,9/1/2018,Closed,,,,,3/27/2019,,,,
Flywheel Capital Partners,Emerging,Interquest Campus,Colorado Springs,CO,Office,Equity,Value Add,20.5,2.4,10,Quarterly,5,1/15/2020,12,25000,67.4,Accredited Investors Only,No,No,,8/29/2018,Closed,10/31/2018,10/22/2018,10/31/2018,10/22/2018,9/6/2019,0.02,0.02,,
Montgomery Street Partners,Seasoned,Daymark Independent Living,Waxahachie,TX,Multifamily,Equity,Development,21.1,1.6,11,,4,5/1/2020,10,25000,48.9,Accredited Investors Only,No,No,,8/29/2018,Closed,,,,,3/20/2019,,,,
O'Donnell Group,Tenured,Stout Industrial,Indianapolis,IN,Industrial,Equity,Core Plus,16.2,2,8.2,Quarterly,7,1/15/2019,10,50000,63.3,Accredited Investors Only,No,No,,8/28/2018,Closed,3/31/2019,2/13/2019,9/30/2019,9/10/2019,3/21/2019,0.06,0.06,,
J. Jeffers & Co.,Emerging,"AVS Partners, LLC AKA Alta Vista Senior Living Portfolio",Milwaukee,WI,Senior Housing,Equity,Value Add,20.4,1.9,13.8,Quarterly,4,1/15/2019,8,25000,70.1,Accredited Investors Only,No,No,,8/21/2018,Closed,12/31/2018,1/31/2019,6/30/2019,7/31/2019,3/26/2019,0.08,0.08,,
RREAF,Tenured,Beachside Resort Cocoa Beach,Cocoa Beach,FL,Hospitality,Equity,Value Add,23.8,2.5,15.8,Quarterly,5,1/15/2019,8,50000,79.8,Accredited Investors Only,No,No,,8/16/2018,Closed,12/31/2018,12/31/2018,12/31/2019,8/23/2019,3/18/2019,0.08,0.08,,
Graham Development,Tenured,The Venue at Werner Park,Papillion,NE,Multifamily,Equity,Development,25.3,4.3,13,Semi Annually,7,12/31/2021,,50000,78.3,Accredited Investors Only,No,No,,8/15/2018,Closed,,,,,3/22/2019,,,,
North Park Ventures,Emerging,1106 Newport Apartments,Chicago,IL,Multifamily,Equity,Value Add,22.2,2.7,4.7,Quarterly,5,1/15/2021,10,25000,75,Accredited Investors Only,No,No,,8/8/2018,Closed,,,,,4/10/2019,,,,
Big V Acquisitions LLC,Seasoned,Belvedere Plaza,Anderson,SC,Retail,Equity,Value Add,16.3,1.9,11.8,Quarterly,5,11/15/2018,10,25000,63.8,Accredited Investors Only,No,No,,8/7/2018,Closed,9/30/2018,10/19/2018,9/30/2019,9/30/2019,3/8/2019,0.12,0.12,,
Tapestry Senior Housing Management,Tenured,Tapestry Walden Senior Housing,Tallahassee,FL,Senior Housing,Preferred Equity,Value Add,14.4,1.8,10,Monthly,5,9/7/2018,10,50000,84.5,Accredited Investors Only,No,No,,7/30/2018,Closed,3/31/2018,3/20/2018,10/31/2019,10/20/2019,2/5/2019,0.16,0.16,,
Big V Acquisitions LLC,Seasoned,Ridgecrest Plaza,Orange Park,FL,Retail,Equity,Value Add,17.8,1.9,12.7,Quarterly,5,1/15/2019,10,25000,69.2,Accredited Investors Only,No,No,,7/26/2018,Closed,9/30/2018,10/19/2018,9/30/2019,9/20/2019,3/8/2019,0.12,0.12,,
Driftwood,Tenured,Sheraton Detroit,Novi,MI,Hospitality,Equity,Value Add,14.7,1.8,10.7,Quarterly,5,1/15/2019,10,50000,58.9,Accredited Investors Only,No,No,,7/25/2018,Closed,9/30/2018,10/30/2018,12/31/2018,1/31/2019,4/2/2019,0.02,0.02,,
Vukota Capital Management,Seasoned,Rainbow Forest Apartment Homes,Decatur,GA,Multifamily,Equity,Value Add,12.2,2.6,8.9,Monthly,10,10/15/2018,8,25000,63.3,Accredited Investors Only,No,No,,7/24/2018,Closed,8/21/2018,8/21/2018,10/25/2019,10/25/2019,4/4/2019,0.08,0.08,,
Newstream Commercial Development,Emerging,Four Points Sheraton,Little Rock,AR,Hospitality,Equity,Opportunistic,35.7,4,19.5,Quarterly,5,1/15/2019,8,25000,67.9,Accredited Investors Only,No,No,,7/21/2018,Closed,,,,,9/13/2019,,,,
RREAF,Tenured,Delta Southlake by Marriott,Southlake,TX,Hospitality,Equity,Development,28.8,2.6,12.6,Quarterly,4,1/15/2021,15,75000,61.7,Accredited Investors Only,No,No,,7/17/2018,Closed,9/1/2018,9/1/2018,9/17/2018,9/17/2018,5/9/2019,,,,
Davenport Partners,Seasoned,800 South Barranca Office,Covina,CA,Office,Equity,Core Plus,15.1,2.45,7.85,Quarterly,5,9/1/2018,7,20000,66.2,Accredited Investors Only,No,No,,7/17/2018,Closed,8/18/2018,8/18/2018,6/30/2019,8/6/2019,4/4/2019,0.07,0.07,,
Ridgeline,Emerging,Allen Medical Office,Allen,TX,Medical Office,Equity,Core Plus,12.5,2,9.3,Quarterly,8,10/15/2018,8,25000,65.2,Accredited Investors Only,No,No,,7/10/2018,Closed,9/30/2018,10/26/2018,3/31/2019,4/22/2019,9/11/2019,0.03,0.03,,
AWH Partners,Seasoned,High Peaks Resort,Lake Placid,NY,Hospitality,Equity,Value Add,17.9,2.1,10.6,Quarterly,5,10/1/2018,8,25000,68.4,Accredited Investors Only,No,No,,6/26/2018,Closed,10/5/2018,10/5/2018,9/30/2019,10/28/2019,7/22/2019,0.08,0.08,,
Nitya Capital,Seasoned,Barcelona Apartment Homes,Houston,TX,Multifamily,Equity,Value Add,18.1,2.1,8.6,Quarterly,5,10/15/2018,8,25000,68,Accredited Investors Only,No,No,,6/25/2018,Closed,9/30/2018,10/26/2018,6/30/2019,8/19/2019,3/15/2019,0.09,0.09,,
Broad Reach Retail Partners,Seasoned,South Grove Retail,Knoxville,TN,Retail,Equity,Value Add,17.3,1.9,13.6,Quarterly,5,12/31/2018,8,25000,72.5,Accredited Investors Only,No,No,,6/21/2018,Closed,9/30/2018,10/16/2018,9/30/2019,10/17/2019,3/7/2019,0.39,0.39,,
Denholtz Properties,Tenured,University Corporate Center,Winter Park,FL,Industrial,Equity,Value Add,15.9,1.9,8,Monthly,5,8/15/2018,8,25000,73.2,Accredited Investors Only,No,No,,6/15/2018,Closed,8/31/2018,8/31/2018,9/29/2019,9/30/2019,7/19/2019,0.1,0.1,,
MEQUITY,Emerging,Tucker Self Storage (CubeSmart Managed),Atlanta Metro,GA,Storage,Equity,Development,19.2,2.4,6.8,Quarterly,5,10/1/2020,8,25000,65,Accredited Investors Only,No,No,,6/13/2018,Closed,,,,,9/9/2019,,,,
American Landmark,Tenured,Schaumburg Towers,Chicago,IL,Office,Equity,Value Add,26.6,2.5,6.2,Quarterly,3,4/1/2019,8,25000,77.8,Accredited Investors Only,No,No,,6/3/2018,Closed,,,,,8/16/2019,,,,
Henley USA,Tenured,Hayes Court,Queens,NY,Multifamily,Equity,Value Add,16.8,1.8,1.8,Quarterly,4,2/1/2019,8,25000,64.3,Accredited Investors Only,No,No,,6/3/2018,Closed,,,,,5/17/2019,,,,
Presario Ventures,Emerging,The Stanton,Lockhart,TX,Multifamily,Equity,Development,19.8,2.3,11.2,Annually,5,10/1/2019,8,25000,85.8,Accredited Investors Only,No,No,,5/31/2018,Closed,,,,,4/12/2019,,,,
Big V Acquisitions LLC,Seasoned,Lexington Towne Center,Lexington,SC,Retail,Equity,Value Add,17.6,2,11.2,Quarterly,5,7/1/2018,10,25000,71.1,Accredited Investors Only,No,No,,5/31/2018,Closed,6/30/2018,6/30/2018,9/30/2019,9/20/2019,3/12/2019,0.17,0.17,,
RREAF,Tenured,Mountainside Apartments,Birmingham,AL,Multifamily,Equity,Value Add,23.1,1.8,10.5,Quarterly,3,9/30/2018,10,35000,71.6,Accredited Investors Only,No,No,,5/30/2018,Closed,8/10/2018,8/10/2018,12/31/2018,2/11/2019,3/20/2019,0.04,0.04,,
Guerrilla Development,Emerging,Tree Farm,Portland,OR,Mixed Use,Equity,Opportunistic,18.4,3.8,7.9,Quarterly,10,6/1/2020,8,25000,65,Accredited Investors Only,No,No,,5/29/2018,Closed,,,,,,,,,
CALCAP Advisors,Tenured,CALCAP Income Fund I,Multiple Locations,Multiple States,Multi-Use,Debt Fund,Value Add,7,,7,Monthly,1,,7.5,25000,83.25,Accredited Investors Only,No,No,,5/23/2018,Closed,2/28/2018,3/22/2018,8/31/2019,9/16/2019,3/26/2019,0.11,0.11,,
Denholtz Properties,Tenured,Silver Star Portfolio,Orlando,FL,Industrial,Equity,Value Add,14.9,1.9,8,Quarterly,5,1/1/2018,8,25000,68.4,Accredited Investors Only,No,No,,5/21/2018,Closed,8/31/2017,8/31/2017,9/29/2019,9/30/2019,3/7/2019,0.15,0.15,,
ScanlanKemperBard,Tenured,1805 SE MLK,Portland,OR,Industrial,Equity,Value Add,20,1.6,4.5,Quarterly,2,10/1/2020,8,25000,65,Accredited Investors Only,No,No,,5/16/2018,Closed,,,,,3/14/2019,,,,
Green Light Development,Seasoned,KEX Social Hostel,Portland,OR,Hospitality,Equity,Opportunistic,20.1,2.9,25.3,Quarterly,10,4/1/2019,10,25000,37.9,Accredited Investors Only,No,No,,5/1/2018,Closed,,,,,3/1/2019,,,,
Henley USA,Tenured,Winsome West Multifamily,Las Vegas,NV,Multifamily,Equity,Value Add,16.4,2.1,7,Quarterly,5,1/1/2019,8,25000,74.5,Accredited Investors Only,No,No,,4/29/2018,Closed,,,,,4/12/2019,,,,
Accordia Realty Ventures,Seasoned,River Drive II,Elmwood Park,NJ,Office,Equity,Value Add,18.5,1.7,9,Quarterly,3,6/30/2018,10,25000,67.7,Accredited Investors Only,No,No,,4/27/2018,Closed,7/5/2018,7/5/2018,9/30/2019,10/7/2019,4/4/2019,0.15,0.15,,
Griffin Partners,Tenured,Union Plaza @ Federal Center Station,Denver,CO,Mixed Use,Equity,Core Plus,15.5,1.7,5.6,Quarterly,4,7/16/2018,,25000,64.9,Accredited Investors Only,No,No,,4/17/2018,Closed,4/30/2018,5/25/2018,8/30/2019,9/27/2019,4/4/2019,0.14,0.14,,
Fiola Communities,Emerging,Ferina 22,Norwalk,CA,Multifamily,Equity,Value Add,18.6,1.4,5.5,Quarterly,2,4/1/2018,8,30000,50.2,Accredited Investors Only,No,No,,4/12/2018,Closed,,,,,,,,,
Rainier Companies,Tenured,Stony Creek Marketplace,Noblesville,IN,Retail,Equity,Core Plus,14.2,1.9,11,Quarterly,6,7/15/2018,8,25000,62.2,Accredited Investors Only,No,No,,4/10/2018,Closed,7/13/2018,7/13/2018,6/30/2019,7/15/2019,3/18/2019,0.14,0.14,,
KBSDirect,Enterprise,KBS Growth & Income Real Estate Fund,Multiple Locations,U.S.,Multi-Use,Equity Fund,Core Plus,14,,6,Monthly,7,2/20/2018,6,25000,,Accredited Investors Only,No,No,,,Funding,11/30/2017,11/1/2017,10/1/2019,10/1/2019,2/5/2019,0.05,,,
Dominion Diversified Real Estate Group,Seasoned,Holiday Inn Express Gastonia,Gastonia,NC,Hospitality,Equity,Value Add,20.2,2.2,14.8,Monthly,5,7/25/2018,9,25000,75,Accredited Investors Only,No,No,,4/2/2018,Closed,6/30/2018,6/30/2018,2/28/2019,2/28/2019,4/8/2019,0.06,0.06,,
Bridgeton Holdings,Seasoned,Cloverleaf Suites Overland Park,Overland Park,KS,Hospitality,Equity,Value Add,17,2,12,Quarterly,5,10/1/2018,8,25000,68,Accredited Investors Only,No,No,,3/12/2018,Closed,,,,,3/28/2019,,,,
Medalist Properties,Emerging,Medalist Diversified REIT,Multiple Locations,,Multi-Use,REIT,Value Add,14,,7,Quarterly,7,10/29/2017,8,5000,,Non-Accredited Eligible,No,No,,3/1/2018,Closed,7/13/2018,7/13/2018,9/30/2018,12/14/2018,,0.03,0.03,,
McKinney Capital,Tenured,Lesser Industrial Cannabis,Oakland,CA,Industrial,Equity,Opportunistic,27.3,1.62,14,Quarterly,2,12/31/2018,9,25000,40.5,Accredited Investors Only,No,No,,2/28/2018,Closed,8/1/2019,8/1/2019,10/25/2019,10/25/2019,4/2/2019,0.06,0.06,,
"SMARTCAP, Inc.",Seasoned,SMARTCAP CRE Value Fund,Multiple Locations,,Multi-Use,Equity Fund,Value Add,17.5,3,8,Quarterly,6,,8,50000,,Accredited Investors Only,No,No,,2/15/2018,Closed,4/30/2018,3/30/2018,9/30/2019,10/25/2019,3/22/2019,0.05,0.05,,
Rainier Companies,Tenured,Moore Plaza,Corpus Christi,TX,Retail,Equity,Value Add,15.6,1.8,11.3,Quarterly,5,4/23/2018,8,20000,64,Accredited Investors Only,No,No,,2/8/2018,Closed,4/30/2018,4/13/2018,6/30/2019,7/15/2019,3/18/2019,0.13,0.13,,
Vertical Ventures,Seasoned,The Pointe at Redwood Shores,Redwood City,CA,Office,Equity,Value Add,31.7,1.7,9.2,Quarterly,2,7/1/2018,10,50000,72,Accredited Investors Only,No,No,,1/29/2018,Closed,7/23/2018,7/23/2018,12/31/2018,1/18/2019,3/25/2019,0.07,0.07,,
Citadel Real Estate Group,Emerging,Wynthrope Forest Apartments,Riverdale,GA,Multifamily,Equity,Value Add,18.4,2.2,8.2,Quarterly,5,4/15/2018,8,25000,68,Accredited Investors Only,No,No,,1/29/2018,Closed,6/30/2018,6/30/2018,6/30/2019,7/30/2019,3/22/2019,0.1,0.1,,
Juniper,Tenured,Drexel Flats,Oklahoma City,OK,Multifamily,Equity,Value Add,14.1,2.3,13.2,Quarterly,10,4/30/2018,8,25000,69.4,Accredited Investors Only,No,No,,1/28/2018,Closed,3/31/2018,4/30/2018,6/30/2019,7/31/2019,7/18/2019,0.11,0.11,,
Bridgeton Holdings,Seasoned,Chase Suites Lincoln,Lincoln,NE,Hospitality,Equity,Value Add,20.2,3.8,19.4,Quarterly,10,10/1/2018,8,25000,68.2,Accredited Investors Only,No,No,,1/28/2018,Realized,4/22/2019,5/8/2019,4/22/2019,5/8/2019,3/28/2019,0.27,0.27,,-62.64
Trion Properties,Seasoned,Multifamily Opportunity Fund I,Multiple Locations,,Multifamily,Equity Fund,Value Add,18,1,8,Quarterly,5,12/26/2017,9,50000,74,Accredited Investors Only,No,No,,1/24/2018,Closed,4/10/2018,4/10/2018,10/23/2019,10/23/2019,4/2/2019,0.24,0.24,,
Alpha Capital Partners,Seasoned,266 Lofts,Memphis,TN,Multifamily,Equity,Core Plus,16.1,1.9,10.6,Monthly,5,3/30/2018,8,20000,72.1,Accredited Investors Only,No,No,,1/23/2018,Closed,4/30/2018,5/30/2018,7/31/2019,9/6/2019,3/28/2019,0.08,0.08,,
Odyssey Urban Asset,Emerging,Alvarado,Los Angeles,CA,Multifamily,Equity,Development,34.2,2.4,4.6,Quarterly,3,1/5/2021,8,25000,73.9,Accredited Investors Only,No,No,,1/21/2018,Closed,,,,,9/24/2019,,,,
Golden Pacific Capital,Emerging,Kansas City Residential Fund,Kansas City,MO,Multi-Use,Equity Fund,Value Add,20,2.4,8,Quarterly,5,,8,25000,75,Accredited Investors Only,No,No,,1/15/2018,Closed,12/31/2016,1/5/2017,12/31/2018,1/3/2019,9/4/2019,0.1,0.1,,
Westmount Realty Equities,Tenured,Westmount At Copper Mill,Houston,TX,Multifamily,Equity,Value Add,18.8,2.2,7.7,Quarterly,5,,9,25000,65.29,Accredited Investors Only,No,No,,1/12/2018,Closed,4/30/2018,4/27/2018,6/30/2019,7/25/2019,10/14/2019,0.15,0.15,,
Broad Reach Retail Partners,Seasoned,Broad Reach Grocery Anchored Portfolio,Multiple Locations,,Retail,Portfolio,Value Add,18.3,2.1,11.5,Quarterly,5,3/31/2018,8,25000,70,Accredited Investors Only,No,No,,1/11/2018,Closed,4/30/2018,4/19/2018,9/30/2019,10/17/2019,3/7/2019,0.13,0.13,,
Avesta Holdings,Tenured,Avesta Multifamily Partners Fund III,Multiple Locations,TX,Multi-Use,Equity Fund,Core Plus,17,1.9,9,Quarterly,5,11/27/2018,8,50000,63,Accredited Investors Only,No,No,,1/11/2018,Closed,,,,,4/22/2019,,,,
Cypressbrook,Tenured,Presidio Apartments,Bryan,TX,Multifamily,Equity,Value Add,17.5,2,9.6,Quarterly,5,7/13/2020,8,25000,73.47,Accredited Investors Only,No,No,,1/8/2018,Closed,,,,,9/3/2019,,,,
Alpha Wave Investors,Emerging,Ecotel Colorado Springs,Colorado Springs,CO,Hospitality,Equity,Value Add,23.1,1.8,9.6,Quarterly,3,10/30/2020,10,25000,48.2,Accredited Investors Only,No,No,,1/8/2018,Closed,,,,,5/18/2019,,,,
Denholtz Properties,Tenured,Horizon Center Portfolio,Hamilton,NJ,Office,Portfolio,Value Add,17.4,2.1,8,Monthly,5,2/1/2018,8,25000,,Accredited Investors Only,No,No,,1/3/2018,Closed,11/30/2017,11/30/2017,9/29/2019,9/30/2019,3/8/2019,0.14,0.14,,
Priam Capital,Seasoned,Priam Capital REIT,Multiple Locations,,Multi-Use,REIT,Core Plus,17,3,11,Quarterly,9,12/1/2017,8,10000,,Accredited Investors Only,No,No,,1/2/2018,Closed,12/31/2017,12/31/2017,6/30/2019,7/25/2019,9/6/2019,0.08,0.08,,
RREAF,Tenured,RREAF Multifamily Fund I QP,South and Southeast,TX,Multi-Use,Equity Fund,Opportunistic,28.1,2,13.9,Quarterly,3,12/30/2017,9,100000,75,Accredited Investors Only,No,No,,1/1/2018,Closed,9/30/2017,9/1/2017,6/30/2019,8/7/2019,5/28/2019,0.14,0.14,,
Broad Reach Retail Partners,Seasoned,Broad Reach Retail Fund II,Multiple Locations,Multiple States,Retail,Equity Fund,Value Add,17,2.2,10.5,Quarterly,10,,8,25000,75,Accredited Investors Only,No,No,,12/25/2017,Closed,3/31/2018,4/19/2018,9/30/2019,10/17/2019,3/11/2019,0.21,0.21,,
RREAF,Tenured,RREAF Gulf Coast Portfolio II,Multiple Locations,MS & AL,Multifamily,Equity,Opportunistic,34.6,3.7,15.1,Quarterly,5,4/1/2018,10,35000,93,Accredited Investors Only,No,No,,12/16/2017,Closed,1/31/2018,1/31/2018,9/30/2019,10/25/2019,3/12/2019,0.15,0.15,,
Henley USA,Tenured,Yorkville Manhattan Multifamily,New York,NY,Multifamily,Equity,Value Add,17,1.9,2.1,Quarterly,4,1/31/2018,,25000,63.2,Accredited Investors Only,No,No,,12/14/2017,Closed,6/30/2018,6/13/2018,9/30/2018,11/6/2018,6/28/2019,0.01,0.01,,
Mayfield Companies,Tenured,Capitol Hill Park/New Carroll,Seattle,WA,Multifamily,Equity,Value Add,22.2,1.82,3.7,Quarterly,3,1/31/2019,,50000,70,Accredited Investors Only,No,No,,12/13/2017,Closed,,,,,3/15/2019,,,,
Virtua Partners,Emerging,"Virtua Income Fund, NA",Multiple Locations,,Multi-Use,Debt Fund,Core Plus,13.5,1.4,12,Monthly,4,,10,50000,65,Accredited Investors Only,No,No,,12/6/2017,Closed,8/31/2017,8/15/2017,8/15/2019,9/13/2019,9/11/2019,0.22,0.22,,
"Investors Management Group, Inc.",Tenured,Sommerset Place,Raleigh,NC,Multifamily,Equity,Value Add,15.9,2,8.2,Monthly,5,4/1/2018,,25000,63.1,Accredited Investors Only,No,No,,12/5/2017,Closed,3/31/2018,4/1/2018,9/30/2019,10/1/2019,3/7/2019,0.09,0.09,,
Fiola Communities,Emerging,Elm 38,Los Angeles,CA,Multifamily,Equity,Value Add,19.7,1.4,5.7,Quarterly,2,11/9/2018,8,30000,65.3,Accredited Investors Only,No,No,,12/3/2017,Closed,,,,,3/16/2018,,,,
O'Donnell Group,Tenured,E-Commerce Industrial Baltimore,Halethorpe,MD,Industrial,Equity,Value Add,20.1,1.7,,,3,,10,25000,69.2,Accredited Investors Only,No,No,,11/28/2017,Closed,,,,,3/25/2019,,,,
Pisula Development Company,Seasoned,Spring Medical Plaza,Spring,TX,Medical Office,Equity,Development,20.5,1.7,4.2,,3,1/15/2019,8,25000,68.5,Accredited Investors Only,No,No,,11/18/2017,Closed,,,,,5/28/2019,,,,
Avistone,Emerging,Northwoods Business Center,Peachtree Centers,GA,Flex R&D,Equity,Value Add,20.57,3,8,,3,,,25000,75,Accredited Investors Only,No,No,,11/17/2017,Closed,11/30/2017,12/15/2017,8/31/2019,9/15/2019,9/24/2019,0.09,0.09,,
Nicholas Residential,Emerging,The Corners Apartment Homes (DBA Bellevue Terrace),Dallas,TX,Multifamily,Equity,Value Add,18,2.1,9.8,Monthly,5,2/1/2018,10,25000,65.5,Accredited Investors Only,No,No,,11/13/2017,Closed,4/9/2018,4/9/2018,9/30/2018,11/26/2018,10/15/2019,0.06,0.06,,
Vertical Ventures,Seasoned,Lathrop Industrial,Lathrop,CA,Industrial,Equity,Opportunistic,34.9,1.5,9.7,,2,11/9/2019,10,50000,71.44,Accredited Investors Only,No,No,,11/10/2017,Closed,,,,,3/15/2019,,,,
Alpha Capital Partners,Seasoned,Falcon Point,College Station,TX,Multifamily,Equity,Value Add,18.2,2.1,11.1,Monthly,5,,8,20000,69.8,Accredited Investors Only,No,No,,11/9/2017,Closed,1/31/2018,2/26/2018,7/30/2018,9/12/2018,3/28/2019,0.05,0.05,,
Avistone,Emerging,Bay Tec & Airport Corporate Center,Tampa-St. Petersburg,FL,Industrial,Equity,Core Plus,13.5,1.75,7,Monthly,4,10/15/2017,8,25000,57.3,Accredited Investors Only,No,No,,11/8/2017,Closed,9/30/2017,10/15/2017,8/31/2019,9/15/2019,9/24/2019,0.14,0.14,,
Rhodium Capital Advisors,Seasoned,100 Franklin Square Drive,Somerset,NJ,Office,Equity,Value Add,25.4,1.83,4,Quarterly,5,1/31/2018,,25000,65.3,Accredited Investors Only,No,No,,11/7/2017,Closed,12/31/2017,1/10/2018,9/30/2019,10/10/2019,3/25/2019,1.11,1.11,,
Henley USA,Tenured,Modern on the Rail,Phoenix,AZ,Multifamily,Equity,Value Add,19.3,2.26,8.1,Quarterly,5,1/30/2018,8,25000,74.12,Accredited Investors Only,No,No,,11/6/2017,Closed,12/31/2017,2/7/2018,5/17/2019,5/17/2019,5/3/2019,1.65,1.65,,
Terrapin Investments,Seasoned,Glenwood Springs Hotel Portfolio,Glenwood Springs,CO,Hospitality,Equity,Value Add,18,2,12.1,Quarterly,5,4/1/2018,9,25000,62.85,Accredited Investors Only,No,No,,11/2/2017,Closed,3/31/2018,4/24/2018,3/31/2019,4/26/2019,3/25/2019,0.12,0.12,,
Griffin Partners,Tenured,Griffin Partners Office Fund III,Multiple Locations,,Multi-Use,Equity Fund,Value Add,15.6,2,7,Quarterly,7,11/15/2017,9,50000,65,Accredited Investors Only,No,No,,11/1/2017,Closed,9/30/2016,11/29/2016,12/31/2018,2/21/2019,3/28/2019,0.04,0.04,,
