Sponsor,Sponsor Experience,Offering,Offering City,Offering State,Property Type,Investment Structure,Investment Profile,Targeted Investor IRR (%),Targeted Investor Equity Multiple,Targeted Avg Annual Cash Yield (%),Targeted Distribution Period,Targeted Investment Period (Years),Targeted First Distribution Date,Preferred Return (%),Minimum Investment ($),Loan-to-Cost (%),Investor Accreditation,1031 Exchange?,Opportunity Zone?,Date Funds Due,Date Closed,Offering Status,First Distribution (Period End Date),First Distribution (Payment Date),Last Distribution (Period End Date),Last Distribution (Payment Date),Last Tax Document Date,Realized Investor Equity Multiple,Realized Avg Annual Cash Yield (%),Disposition Date,Realized Investor IRR (%)
Ilan Investments,Tenured,Tampa Woods - Class B,Tampa,FL,Multifamily,Preferred Equity,Core Plus,14.5,2.7,9,Semi Annually,10,,9,50000,75,Accredited Investors Only,No,No,,8/9/2016,Closed,11/30/2016,11/29/2016,6/30/2019,7/31/2019,2/22/2019,0.26,0.78,,
Virtua Partners,Emerging,Virtua High Growth Fund II,Multiple Locations,Multiple Locations,Multi-Use,Equity Fund,Opportunistic,30,2.2,,,3,,15,25000,,Accredited Investors Only,No,No,,7/31/2016,Closed,11/30/2017,11/10/2017,4/10/2019,4/10/2019,7/19/2019,0.16,0.49,,
Franklin Realty,Seasoned,Franklin Opportunity Fund II,Lehigh Valley,PA,Office,Equity Fund,Value Add,17.7,2,8,Quarterly,5,,8,25000,,Accredited Investors Only,No,No,,7/28/2016,Closed,6/30/2016,7/15/2016,10/11/2019,10/11/2019,8/15/2019,0.27,0.82,,
KRI Capital Partners,Seasoned,Arbours at Garden Grove,Winter Haven,FL,Multifamily,Equity,Core Plus,17.1,2.04,8,Quarterly,5,,8,25000,71.8,Accredited Investors Only,No,No,,7/27/2016,Closed,9/30/2016,10/24/2016,6/30/2019,7/25/2019,10/15/2019,0.82,2.45,,
Block Funds,Tenured,The WaterSide Residences,Lenexa,KS,Multifamily,Equity,Development,23,2.4,17.6,Quarterly,5,,8,50500,76.01,Accredited Investors Only,No,No,,7/20/2016,Closed,4/15/2016,4/15/2016,9/10/2019,9/10/2019,5/1/2019,1,2.99,,
Core Properties West,Emerging,Chameleon Apartments,Seattle,WA,Multifamily,Equity,Value Add,35.8,2.5,4.4,Monthly,3,6/1/2017,8,50000,78.1,Accredited Investors Only,No,No,,7/7/2016,Closed,,,,,,,,,
Arrowpoint Properties,Emerging,River's Edge,Haverhill,MA,Multifamily,Equity,Value Add,28.1,3.84,16,Quarterly,7,,8,25000,78.77,Accredited Investors Only,No,No,,6/20/2016,Closed,12/31/2016,1/12/2017,6/30/2019,7/16/2019,3/6/2019,0.39,1.16,,
Everest Healthcare Properties,Seasoned,Everest West Central,Delaware,OH,Office,Equity,Value Add,20.2,2.29,9.6,Monthly,5,,7,25000,74.87,Accredited Investors Only,No,No,,5/15/2016,Closed,5/31/2016,6/1/2016,10/31/2019,9/30/2019,3/5/2019,0.22,0.67,,
IntelliStay Hospitality,Emerging,IntelliStay Lima,Lima,OH,Hospitality,Equity,Value Add,23.6,2.3,18.8,Monthly,5,,10,10000,67.2,Accredited Investors Only,No,No,,5/15/2016,Closed,8/31/2016,8/1/2016,8/31/2019,8/1/2019,3/12/2019,0.44,1.32,,
Mascia Development,Seasoned,Val Verde Place,La Vista,NE,Retail,Equity,Value Add,15.8,1.95,8.2,Quarterly,5,,,10000,64.78,Accredited Investors Only,No,No,,5/12/2016,Closed,1/2/1900,1/2/1900,6/30/2018,6/15/2018,3/10/2018,0.11,0.32,,
Virtua Partners,Emerging,Plymouth Meeting,Plymouth Meeting,PA,Hospitality,Equity,Value Add,21.7,2.4,10,Monthly,5,,,25000,83.27,Accredited Investors Only,No,No,,5/12/2016,Closed,,,,,5/25/2018,,,,
Brooklyn Standard Properties,Emerging,West 107th,New York,NY,Multifamily,Equity,Value Add,14,1.6,9.6,Annually,5,,8,10000,69.57,Accredited Investors Only,No,No,,4/30/2016,Closed,12/31/2016,1/26/2017,3/31/2017,5/4/2017,3/14/2019,0.01,0.04,,
"SMARTCAP, Inc.",Seasoned,South Seattle Business Park,Seattle,WA,Mixed Use,Equity,Value Add,20.4,2.3,8.6,Quarterly,5,,,25000,,Accredited Investors Only,No,No,,4/19/2016,Realized,9/30/2016,10/20/2016,5/24/2019,5/24/2019,3/14/2019,2.31,6.92,,70.19
Denholtz Properties,Tenured,490 First Avenue,St. Petersburg,FL,Office,Equity,Value Add,19.7,2.3,8,Quarterly,5,,,25000,,Accredited Investors Only,No,No,,4/12/2016,Realized,6/30/2016,6/30/2016,6/30/2019,6/30/2019,3/28/2019,1.57,4.7,12/17/2018,28.52
Encore Enterprises,Tenured,Encore GP Acquisition Fund II,Multiple Locations,Multiple Locations,Multi-Use,Equity Fund,Opportunistic,24,2.1,,,6,,8,25000,,Accredited Investors Only,No,No,,2/23/2016,Closed,2/28/2017,12/31/2017,9/30/2019,9/30/2019,9/10/2019,0.02,0.06,,
Emerge Investments,Emerging,Ivy at Clear Creek,Houston,TX,Multifamily,Equity,Value Add,19.6,2.24,10.2,Quarterly,5,,8,25000,71.45,Accredited Investors Only,No,No,,2/12/2016,Realized,6/30/2016,7/20/2016,5/1/2019,6/25/2019,4/2/2018,1.69,5.08,,28.71
IntelliStay Hospitality,Emerging,IntelliStay Boonville,Boonville,MO,Hospitality,Equity,Value Add,24.3,2.4,21.2,Monthly,5,,10,15000,79.32,Accredited Investors Only,No,No,,2/12/2016,Closed,4/30/2016,4/1/2016,8/31/2019,8/1/2019,9/9/2019,0.54,1.63,,
Cadence Asset Management,Seasoned,Cadence Retail Income Fund,Multiple Locations,Multiple Locations,Multi-Use,Equity Fund,Value Add,15,2.01,5.5,Quarterly,5,4/11/2016,7,50000,,Accredited Investors Only,No,No,,2/12/2016,Closed,,,,,,,,,
Denholtz Properties,Tenured,100 East Pine Street,Orlando,FL,Office,Equity,Value Add,17.6,2.08,8,Quarterly,5,,8,25000,79.45,Accredited Investors Only,No,No,,2/11/2016,Closed,3/31/2016,3/31/2016,9/29/2019,9/30/2019,3/7/2019,0.72,2.15,,
Virtua Partners,Emerging,Britannia Business Center I,Pleasanton,CA,Office,Equity,Opportunistic,30,2.2,19.24,Quarterly,3,12/31/2019,15,25000,59.71,Accredited Investors Only,No,No,,1/28/2016,Closed,,,,,5/24/2018,,,,
Keystone Property Group,Tenured,1200 Corporate Place,Boca Raton,FL,Office,Preferred Equity,Core Plus,14.4,1.82,9,,5,,8.5,25000,81.04,Accredited Investors Only,No,No,,1/13/2016,Closed,,,,,,,,,
Urban Green,Seasoned,Welbrook Santa Monica Memory Care,Santa Monica,CA,Senior Housing,Equity,Opportunistic,22.1,2.6,19.2,Quarterly,5,3/31/2020,10,25000,61.8,Accredited Investors Only,No,No,,1/5/2016,Closed,,,,,4/10/2019,,,,
Global Senior Housing,Emerging,New Haven Assisted Living,Spring,TX,Senior Housing,Preferred Equity,Opportunistic,24.3,2.1,,Quarterly,5,,10,10000,75.7,Accredited Investors Only,No,No,,1/4/2016,Closed,12/31/2015,12/31/2015,3/31/2018,3/31/2018,3/15/2019,0.24,0.71,,
Encore Enterprises,Tenured,Harrisonburg DoubleTree,Harrisonburg,VA,Hospitality,Equity,Value Add,19.5,2.2,25.51,Quarterly,5,4/30/2018,8,25000,61,Accredited Investors Only,No,No,,1/2/2016,Closed,3/31/2018,3/31/2018,9/30/2019,9/30/2019,9/6/2019,0.05,0.15,,
Hayman Properties,Seasoned,ABB Corporate,Westerville,OH,Office,Equity,Value Add,17.5,1.57,8,Quarterly,3,,8,25000,72.76,Accredited Investors Only,No,No,,1/1/2016,Closed,3/31/2016,4/20/2016,4/19/2018,4/19/2018,7/27/2019,0.18,0.54,,
Olympus Property,Tenured,Olympus Fund IV,Multiple Locations,Multiple Locations,Multi-Use,Equity Fund,Core,11.41,7.8,11.88,Quarterly,5,,7,25000,74.3,Accredited Investors Only,No,No,,11/20/2015,Closed,2/28/2015,5/1/2015,3/31/2019,3/31/2019,10/3/2019,0.32,0.96,,
Westmount Realty Equities,Tenured,Westmount at Colonnade,Grand Prairie,TX,Multifamily,Equity,Value Add,18.3,2.09,10.65,Quarterly,5,,10,25000,72.52,Accredited Investors Only,No,No,,11/16/2015,Realized,12/31/2015,1/26/2016,12/20/2018,1/31/2019,10/14/2019,1.52,4.55,,16.75
Kleban Properties,Seasoned,2321 University Blvd,Tuscaloosa,AL,Mixed Use,Equity,Value Add,19.3,2.1,14,Quarterly,5,,9,15000,69.24,Accredited Investors Only,No,No,,11/6/2015,Closed,3/31/2016,3/31/2016,6/30/2017,6/30/2017,3/6/2019,0.38,1.13,,
Bancroft,Tenured,Sixth Avenue West,Golden,CO,Office,Equity,Value Add,17,1.9,11.5,Quarterly,5,,8,25000,74.4,Accredited Investors Only,No,No,,10/2/2015,Closed,12/31/2015,2/9/2016,12/31/2016,2/15/2017,3/20/2018,0.11,0.45,,
Westmount Realty Equities,Tenured,Westmount at Summer Cove,Grand Prairie,TX,Multifamily,Equity,Value Add,18,2,11.1,Quarterly,5,,10,25000,71.2,Accredited Investors Only,No,No,,9/27/2015,Closed,12/31/2015,2/4/2016,6/30/2019,7/25/2019,10/14/2019,0.29,1.16,,
Capital Real Estate,Tenured,Ponderosa Ranch fka Sienna Apartments,Tempe,AZ,Multifamily,Equity,Value Add,17,2.03,8,Quarterly,5,,8,25000,69.7,Accredited Investors Only,No,No,,8/31/2015,Closed,1/31/2015,10/23/2015,10/24/2018,10/24/2018,3/5/2019,0.84,3.36,,
Aldwin Apartments,Emerging,Oak Chase,Fort Worth,TX,Multifamily,Equity,Value Add,16.5,1.81,8.6,Quarterly,5,,8,25000,76,Accredited Investors Only,No,No,,8/23/2015,Closed,12/31/2015,2/2/2016,6/30/2019,7/31/2019,4/3/2018,0.58,2.34,,
Phoinix Capital Partners,Emerging,1380 Garnet Retail Center,San Diego,CA,Retail,Equity,Opportunistic,23.7,1.53,7.47,Quarterly,2,,10,25000,49.8,Accredited Investors Only,No,No,,7/24/2015,Closed,,,,,3/21/2018,,,,
"The William Warren Group, Inc.",Tenured,StorQuest: Tempe / Warner (1063),Tempe,AZ,Storage,Equity,Core Plus,12.1,2.4,9.9,Quarterly,10,,8,25000,59,Accredited Investors Only,No,No,,6/30/2015,Closed,6/30/2015,7/15/2015,12/31/2018,1/15/2019,3/8/2019,0.28,1.12,,
Mainstreet,Seasoned,Mainstreet Bloomington,Bloomington,IN,Senior Housing,Mezzanine Debt,Core Plus,14,1.3,,Quarterly,2,,,10000,,Accredited Investors Only,No,No,,6/7/2015,Realized,6/30/2014,9/30/2014,8/15/2018,8/15/2018,,1.12,4.47,,3
"Windmill Investments, LLC",Seasoned,Timber Oaks Apartments,Midlothian,TX,Multifamily,Equity,Value Add,17.8,2.14,7.1,Quarterly,5,,,35000,,Accredited Investors Only,No,No,,6/4/2015,Realized,3/31/2015,5/15/2015,9/19/2018,9/19/2018,3/26/2019,1.63,6.51,,19.83
Aldwin Apartments,Emerging,Villas at LeBlanc Park,Fort Worth,TX,Multifamily,Equity,Value Add,19.6,1.73,,Quarterly,5,,,25000,,Accredited Investors Only,No,No,,4/16/2015,Realized,6/30/2015,7/29/2015,12/31/2017,12/12/2017,4/3/2018,1.42,5.69,,17.79
Urban Green,Seasoned,1924 Franklin,Oakland,CA,Office,Equity,Value Add,18.1,1.6,14.6,Quarterly,3,,10,25000,69,Accredited Investors Only,No,No,,4/3/2015,Realized,1/31/2016,12/12/2016,1/31/2016,12/12/2016,4/3/2019,0.25,1.01,,-26.85
EverWest Real Estate Partners,Tenured,30 Knightsbridge Rd,Piscataway,NJ,Office,Mezzanine Debt,Core Plus,10.5,1.64,10.5,Quarterly,5,,11.5,25000,,Accredited Investors Only,No,No,,1/27/2015,Closed,3/31/2015,1/8/2015,3/31/2019,4/1/2019,3/29/2019,0.39,1.57,,
